hardness_mgL,conductivity_uScm
172.64499999999998,518.0
267.359,598.0
120.953,290.0
358.78200000000004,820.0
525.909,936.0
2.6591,280.0
82.884,229.0
232.57299999999998,570.0
31.0946,73.0
130.30079999999998,270.0
70.0658,198.0
127.29459999999999,234.0
110.351,224.0
1.8224,289.0
1551.1689999999999,3680.0
226.924,489.0
11.2848,342.0
2.4094,646.0
10.5488,313.0
13.3569,317.0
2.5715,286.0
21.544600000000003,236.0
131.1244,300.0
9.5983,79.0
3.8945000000000003,312.0
139.57,304.0
339.862,934.0
2.9833,309.0
7.640000000000001,334.0
77.0402,185.0
135.804,294.0
53.8484,657.0
1.8224,309.0
124.326,289.0
4.3194,650.0
101.063,228.0
4.7181,275.0
52.9724,595.0
82.96260000000001,163.0
220.44,440.0
5.5548,638.0
146.15879999999999,278.0
33.2322,110.0
100.232,261.0
238.312,662.0
27.861600000000003,81.0
26.889,109.0
56.424,128.0
26.0523,93.0
46.0766,147.0
59.901799999999994,133.0
83.498,702.0
105.8998,242.0
5.879,47.0
2470.5220000000004,19300.0
168.527,349.0
97.997,213.0
28.0982,95.0
307.139,2860.0
31.1339,77.0
2999.902,24600.0
26.179199999999998,78.0
104.35,295.0
4.0566,30.0
7.8766,310.0
90.4798,424.0
36.15,150.0
56.0646,129.0
86.7736,195.0
146.98239999999998,328.0
38.971199999999996,129.0
19.0869,86.0
464.016,4230.0
2960.212,22800.0
25.1149,75.0
127.699,308.0
21.807399999999998,70.0
169.7436,86.0
229.814,578.0
39.3175,113.0
36.5487,141.0
200.85699999999997,420.0
10.8116,62.0
2721.7200000000003,20200.0
21.982599999999998,74.0
11.9332,95.0
2859.497,23100.0
27.8002,81.0
37.3764,151.0
20.296100000000003,72.0
39.821,134.0
33.5916,108.0
32.7942,120.0
2092.722,14800.0
3061.058,23600.0
6.1418,149.0
155.911,323.0
33.915800000000004,98.0
146.799,304.0
54.3699,100.0
19.8933,135.0
31.970599999999997,114.0
2718.7400000000002,21200.0
37.0702,106.0
14.106,49.0
15.674600000000002,358.0
34.5159,117.0
31.953400000000002,97.0
178.36520000000002,460.0
31.970599999999997,109.0
18.0136,98.0
20.1995,266.0
23.156599999999997,69.0
30.0082,84.0
38.1476,124.0
43.1416,138.0
539.0160000000001,5020.0
24.8038,112.0
234.93899999999996,504.0
23.1435,72.0
20.8086,71.0
27.949199999999998,95.0
39.821,280.0
47.828599999999994,129.0
2561.732,20200.0
32.0934,109.0
1.1609,340.0
32.3693,98.0
7.938000000000001,279.0
133.56900000000002,301.0
117.4302,277.0
214.08700000000002,419.0
169.272,441.0
2.0721,285.0
316.554,562.0
28.1989,323.0
135.19,298.0
166.644,538.0
14.1322,331.0
26.8628,79.0
22.192999999999998,53.0
